Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chakhaza,"165,420",0 (0.1—0.9%),2.1% (1.1—3.7%),83% (62—95%)
Chiwere,"111,640",0 (0.1—0.7%),2.0% (1.1—3.7%),86% (68—96%)
Dowa Boma,"7,580",0 (0.1—0.8%),1.9% (0.9—3.3%),83% (63—95%)
Dzoole,"103,930",0 (0.1—1.0%),2.1% (1.1—3.8%),80% (57—94%)
Kayembe,"120,970",0 (0.1—0.8%),1.6% (0.8—3.0%),80% (57—94%)
Mkukula,"129,330",0 (0.1—1.2%),2.5% (1.3—4.3%),81% (60—94%)
Mponela,"53,300",0 (0.1—1.2%),2.4% (1.2—4.1%),81% (58—94%)
Mponela Urban,"25,910",0 (0.1—1.3%),2.7% (1.4—4.7%),81% (58—94%)
Msakambewa,"96,570",0 (0.1—0.8%),1.8% (1.0—3.2%),83% (62—95%)
