Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chikho,"26,020",0 (0.1—0.7%),1.6% (0.8—3.0%),83% (62—95%)
Chilooko,"95,020",0 (0.1—0.8%),1.8% (0.9—3.3%),82% (60—94%)
Kalumo,"79,400",0 (0.1—0.6%),1.6% (0.9—2.8%),85% (65—96%)
Kasakula,"21,020",0 (0.1—0.9%),1.8% (0.9—3.1%),81% (59—94%)
Malenga,"53,740",0 (0.1—0.7%),1.6% (0.8—2.7%),82% (62—95%)
Ntchisi Boma,"9,970",0 (0.1—0.7%),1.8% (0.9—3.3%),85% (64—96%)
Nthondo,"34,160",0 (0.1—0.7%),1.6% (0.8—2.8%),83% (61—95%)
Vuso Jere,"16,930",0 (0.1—0.7%),1.6% (0.8—3.0%),84% (63—95%)
