Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Kanduku,"53,040",0 (0.1—1.3%),4.5% (2.4—7.7%),90% (75—97%)
Majete Game Reserve - Mwanza,0,NA (NA—NA),NA (NA—NA),NA (NA—NA)
Mwanza Boma,"19,230",1 (0.1—1.5%),5.0% (2.6—9.0%),89% (74—97%)
Nthache,"45,950",0 (0.1—1.2%),4.3% (2.2—7.3%),90% (75—97%)
STA Govati,"21,030",0 (0.1—1.0%),3.9% (2.0—6.9%),91% (78—98%)
