Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chekucheku,"17,060",1 (0.2—1.8%),6.1% (3.3—10.6%),90% (75—97%)
Dambe,"68,580",0 (0.1—1.2%),4.5% (2.4—7.7%),90% (75—97%)
Mlauli,"25,600",1 (0.2—1.8%),6.2% (3.3—10.6%),90% (75—97%)
Neno Boma,"1,650",1 (0.2—1.9%),6.3% (3.3—10.8%),89% (72—97%)
Symon Likongwe,"31,430",1 (0.2—2.6%),8.4% (4.7—14.0%),88% (72—97%)
