Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chiwalo,"58,400",1 (0.2—2.2%),8.6% (4.5—15.0%),91% (78—98%)
Jenala,"90,350",1 (0.2—2.0%),9.1% (5.0—15.2%),91% (80—98%)
Kaduya,"81,300",1 (0.2—2.1%),9.2% (5.1—14.7%),92% (80—98%)
Mkhumba,"113,340",1 (0.2—2.0%),8.5% (4.7—13.9%),92% (80—98%)
Nazombe,"62,240",1 (0.2—2.2%),10.2% (5.6—16.6%),92% (80—98%)
Nkhulambe,"41,300",1 (0.2—2.3%),11.3% (6.2—18.5%),93% (83—98%)
Phalombe Boma,"6,440",1 (0.2—2.1%),9.3% (4.9—15.5%),91% (79—98%)
