Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Chauma,"23,710",1 (0.1—1.3%),2.6% (1.3—4.7%),81% (57—94%)
Chilikumwendo,"82,520",0 (0.1—1.1%),1.8% (0.9—3.2%),74% (49—92%)
Dedza Boma,"32,550",1 (0.2—1.8%),4.6% (2.4—8.0%),84% (65—96%)
Kachere,"175,680",1 (0.2—1.5%),2.8% (1.5—4.8%),77% (53—92%)
Kachindamoto,"137,020",1 (0.2—1.6%),4.2% (2.3—7.3%),86% (67—96%)
Kamenya Gwaza,"38,670",1 (0.2—1.8%),4.1% (2.1—7.2%),83% (62—95%)
Kaphuka,"176,260",1 (0.1—1.3%),2.8% (1.5—4.9%),80% (59—94%)
Kasumbu,"115,390",0 (0.1—1.2%),3.0% (1.6—5.4%),84% (65—96%)
Tambala,"87,910",0 (0.1—1.1%),2.7% (1.4—4.7%),84% (64—95%)
