Health Facility,Code,Type,Traditional Authority,Setting
Kunenekude Health Centre,KUNE,Health centre,TA Kanduku,Rural
Mwanza District Hospital,MWZH,District hospital,Mwanza Boma,Semi-urban
Thambani Health Centre,TNHC,Health centre,Senior TA Govati,Rural
Tulonkhondo Health Centre,THC,Health centre,TA Kanduku,Rural
