Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Likoma Boma,"1,380",1 (0.2—2.5%),5.5% (2.7—9.8%),84% (63—96%)
Mkumpha,"13,710",1 (0.2—2.5%),5.7% (2.8—10.2%),84% (64—96%)
