Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Kafuzila,"25,140",1 (0.2—1.9%),4.2% (2.1—7.5%),82% (62—95%)
Kanyenda,"121,950",1 (0.2—1.9%),4.4% (2.4—7.5%),82% (60—94%)
Malenga Chanzi,"45,190",1 (0.2—1.6%),3.1% (1.6—5.6%),79% (55—94%)
Mphonde,"32,600",1 (0.1—1.6%),3.0% (1.6—5.4%),80% (57—94%)
Mwadzama,"103,460",1 (0.2—1.4%),3.1% (1.7—5.2%),82% (60—94%)
Mwansambo,"30,560",0 (0.1—0.9%),1.8% (0.9—3.3%),82% (59—95%)
Nkhotakota Boma,"29,730",1 (0.2—1.7%),3.4% (1.7—6.1%),79% (56—94%)
Nkhotakota Game Reserve,"1,700",0 (0.1—1.1%),2.2% (1.1—4.0%),80% (56—94%)
STA Kalimanjira,"20,560",1 (0.2—1.7%),3.2% (1.7—5.8%),79% (54—94%)
