Traditional Authority,Population,HIV viraemia,HIV prevalence,Viral load suppression
Karonga Town,"64,610",1 (0.3—2.7%),6.5% (3.4—11.4%),84% (64—95%)
Kilupula,"81,570",1 (0.2—2.1%),5.1% (2.6—8.9%),83% (63—95%)
Kyungu,"93,420",1 (0.2—1.9%),4.8% (2.6—8.3%),85% (65—95%)
Mwakaboko,"25,960",1 (0.3—3.1%),6.1% (3.1—10.9%),80% (57—94%)
Mwirang'ombe,"38,960",1 (0.2—1.9%),4.3% (2.2—7.8%),84% (62—96%)
Nyika National Park-Karonga,0,NA (NA—NA),NA (NA—NA),NA (NA—NA)
Wasambo,"76,090",1 (0.2—2.0%),4.5% (2.4—7.7%),82% (61—95%)
